,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
1751,11,UNAM Pumas,Liga MX Apertura,31300000.0,2021/ 2022,pumas,p pumas p
1752,12,Club Tijuana,Liga MX Apertura,37100000.0,2021/ 2022,club tijuana,c tijuana t
1753,13,Atlético de San Luis,Liga MX Apertura,29200000.0,2021/ 2022,atletico de san luis,a atletico l
1754,14,FC Juárez,Liga MX Apertura,30100000.0,2021/ 2022,juarez,j juarez j
1755,15,Mazatlán FC,Liga MX Apertura,21050000.0,2021/ 2022,mazatlan,m mazatlan m
1756,16,Puebla FC,Liga MX Apertura,18050000.0,2021/ 2022,puebla,p puebla p
1757,17,Atlas Guadalajara,Liga MX Apertura,37600000.0,2021/ 2022,atlas guadalajara,a guadalajara g
1758,18,Querétaro FC,Liga MX Apertura,17680000.0,2021/ 2022,queretaro,q queretaro q
1759,1,CF América,Liga MX Apertura,56950000.0,2020/ 2021,america,a america a
1760,2,CF Monterrey,Liga MX Apertura,68500000.0,2020/ 2021,monterrey,m monterrey m
1761,3,CD Cruz Azul,Liga MX Apertura,57300000.0,2020/ 2021,cruz azul,c cruz a
1762,4,Tigres UANL,Liga MX Apertura,58500000.0,2020/ 2021,tigres,t tigres t
1763,5,Deportivo Toluca,Liga MX Apertura,25600000.0,2020/ 2021,deportivo toluca,d deportivo t
1764,6,Deportivo Guadalajara,Liga MX Apertura,52530000.0,2020/ 2021,deportivo guadalajara,d guadalajara g
1765,7,CF Pachuca,Liga MX Apertura,39300000.0,2020/ 2021,pachuca,p pachuca p
1766,8,Santos Laguna,Liga MX Apertura,48200000.0,2020/ 2021,santos laguna,s santos l
1767,9,Club León FC,Liga MX Apertura,36850000.0,2020/ 2021,club leon,c club l
1768,10,Club Necaxa,Liga MX Apertura,21530000.0,2020/ 2021,club necaxa,c necaxa n
1769,11,UNAM Pumas,Liga MX Apertura,26230000.0,2020/ 2021,pumas,p pumas p
1770,12,Club Tijuana,Liga MX Apertura,41380000.0,2020/ 2021,club tijuana,c tijuana t
1771,13,Atlético de San Luis,Liga MX Apertura,27430000.0,2020/ 2021,atletico de san luis,a atletico l
1772,14,FC Juárez,Liga MX Apertura,26480000.0,2020/ 2021,juarez,j juarez j
1774,16,Puebla FC,Liga MX Apertura,20080000.0,2020/ 2021,puebla,p puebla p
1775,17,Atlas Guadalajara,Liga MX Apertura,32200000.000000004,2020/ 2021,atlas guadalajara,a guadalajara g
1776,18,Querétaro FC,Liga MX Apertura,13830000.0,2020/ 2021,queretaro,q queretaro q
1777,1,CF América,Liga MX Apertura,66900000.00000001,2019/ 2020,america,a america a
1778,2,CF Monterrey,Liga MX Apertura,87800000.0,2019/ 2020,monterrey,m monterrey m
1779,3,CD Cruz Azul,Liga MX Apertura,60100000.0,2019/ 2020,cruz azul,c cruz a
1780,4,Tigres UANL,Liga MX Apertura,70600000.0,2019/ 2020,tigres,t tigres t
1781,5,Deportivo Toluca,Liga MX Apertura,26950000.0,2019/ 2020,deportivo toluca,d deportivo t
1782,6,Deportivo Guadalajara,Liga MX Apertura,40400000.0,2019/ 2020,deportivo guadalajara,d guadalajara g
1783,7,CF Pachuca,Liga MX Apertura,46930000.0,2019/ 2020,pachuca,p pachuca p
1784,8,Santos Laguna,Liga MX Apertura,44000000.0,2019/ 2020,santos laguna,s santos l
1785,9,Club León FC,Liga MX Apertura,35350000.0,2019/ 2020,club leon,c club l
1786,10,Club Necaxa,Liga MX Apertura,20000000.0,2019/ 2020,club necaxa,c necaxa n
1787,11,UNAM Pumas,Liga MX Apertura,32150000.0,2019/ 2020,pumas,p pumas p
1788,12,Club Tijuana,Liga MX Apertura,29700000.0,2019/ 2020,club tijuana,c tijuana t
1789,13,Atlético de San Luis,Liga MX Apertura,18000000.0,2019/ 2020,atletico de san luis,a atletico l
1790,14,FC Juárez,Liga MX Apertura,16100000.000000002,2019/ 2020,juarez,j juarez j
1792,16,Puebla FC,Liga MX Apertura,22700000.0,2019/ 2020,puebla,p puebla p
1793,17,Atlas Guadalajara,Liga MX Apertura,30300000.0,2019/ 2020,atlas guadalajara,a guadalajara g
1794,18,Querétaro FC,Liga MX Apertura,29750000.0,2019/ 2020,queretaro,q queretaro q
1795,1,Red Bull Salzburg,Austria Bundesliga,182850000.0,2023/ 2024,red bull salzburg,r salzburg s
1796,2,SK Sturm Graz,Austria Bundesliga,47600000.0,2023/ 2024,sturm graz,s sturm g
1797,3,LASK,Austria Bundesliga,36150000.0,2023/ 2024,,
1798,4,Rapid Vienna,Austria Bundesliga,22780000.0,2023/ 2024,rapid vienna,r vienna v
1799,5,Austria Vienna,Austria Bundesliga,21230000.0,2023/ 2024,austria vienna,a austria v
1800,6,Wolfsberger AC,Austria Bundesliga,15180000.0,2023/ 2024,wolfsberger,w wolfsberger w
1801,7,TSV Hartberg,Austria Bundesliga,7650000.0,2023/ 2024,hartberg,h hartberg h
1802,8,SCR Altach,Austria Bundesliga,7950000.0,2023/ 2024,altach,a altach a
1803,9,FC Blau-Weiss Linz,Austria Bundesliga,6280000.0,2023/ 2024,blauweiss linz,b blauweiss l
1804,10,SK Austria Klagenfurt,Austria Bundesliga,8950000.0,2023/ 2024,austria klagenfurt,a klagenfurt k
1805,11,WSG Tirol,Austria Bundesliga,8230000.0,2023/ 2024,tirol,t tirol t
1806,1,Red Bull Salzburg,Austria Bundesliga,204830000.0,2022/ 2023,red bull salzburg,r salzburg s
1807,2,SK Sturm Graz,Austria Bundesliga,33430000.0,2022/ 2023,sturm graz,s sturm g
1808,3,LASK,Austria Bundesliga,24280000.0,2022/ 2023,,
1809,4,Rapid Vienna,Austria Bundesliga,31680000.0,2022/ 2023,rapid vienna,r vienna v
1810,5,Austria Vienna,Austria Bundesliga,19830000.0,2022/ 2023,austria vienna,a austria v
1811,6,Wolfsberger AC,Austria Bundesliga,15630000.0,2022/ 2023,wolfsberger,w wolfsberger w
1812,7,TSV Hartberg,Austria Bundesliga,8550000.0,2022/ 2023,hartberg,h hartberg h
1813,8,SCR Altach,Austria Bundesliga,10550000.0,2022/ 2023,altach,a altach a
1814,10,SK Austria Klagenfurt,Austria Bundesliga,8880000.0,2022/ 2023,austria klagenfurt,a klagenfurt k
1815,11,WSG Tirol,Austria Bundesliga,7430000.0,2021/ 2022,tirol,t tirol t
1816,1,Red Bull Salzburg,Austria Bundesliga,133150000.0,2021/ 2022,red bull salzburg,r salzburg s
1817,2,SK Sturm Graz,Austria Bundesliga,25980000.0,2021/ 2022,sturm graz,s sturm g
1818,3,LASK,Austria Bundesliga,31880000.0,2021/ 2022,,
1819,4,Rapid Vienna,Austria Bundesliga,29900000.0,2021/ 2022,rapid vienna,r vienna v
1820,5,Austria Vienna,Austria Bundesliga,18150000.0,2021/ 2022,austria vienna,a austria v
1821,6,Wolfsberger AC,Austria Bundesliga,15980000.0,2021/ 2022,wolfsberger,w wolfsberger w
1822,7,TSV Hartberg,Austria Bundesliga,8150000.0,2021/ 2022,hartberg,h hartberg h
1823,8,SCR Altach,Austria Bundesliga,8230000.0,2021/ 2022,altach,a altach a
1824,10,SK Austria Klagenfurt,Austria Bundesliga,7550000.0,2021/ 2022,austria klagenfurt,a klagenfurt k
1825,11,WSG Tirol,Austria Bundesliga,7350000.0,2021/ 2022,tirol,t tirol t
1826,1,Red Bull Salzburg,Austria Bundesliga,143800000.0,2020/ 2021,red bull salzburg,r salzburg s
1827,2,SK Sturm Graz,Austria Bundesliga,14900000.0,2020/ 2021,sturm graz,s sturm g
1828,3,LASK,Austria Bundesliga,33000000.0,2020/ 2021,,
1829,4,Rapid Vienna,Austria Bundesliga,33650000.0,2020/ 2021,rapid vienna,r vienna v
1830,5,Austria Vienna,Austria Bundesliga,16550000.0,2020/ 2021,austria vienna,a austria v
1831,6,Wolfsberger AC,Austria Bundesliga,14650000.0,2020/ 2021,wolfsberger,w wolfsberger w
1832,7,TSV Hartberg,Austria Bundesliga,8580000.0,2020/ 2021,hartberg,h hartberg h
1833,8,SCR Altach,Austria Bundesliga,9550000.0,2020/ 2021,altach,a altach a
1834,11,WSG Tirol,Austria Bundesliga,6180000.0,2020/ 2021,tirol,t tirol t
1835,1,Red Bull Salzburg,Austria Bundesliga,94600000.0,2019/ 2020,red bull salzburg,r salzburg s
1836,2,SK Sturm Graz,Austria Bundesliga,20000000.0,2019/ 2020,sturm graz,s sturm g
1837,3,LASK,Austria Bundesliga,21730000.0,2019/ 2020,,
1838,4,Rapid Vienna,Austria Bundesliga,32150000.0,2019/ 2020,rapid vienna,r vienna v
1839,5,Austria Vienna,Austria Bundesliga,22900000.0,2019/ 2020,austria vienna,a austria v
1840,6,Wolfsberger AC,Austria Bundesliga,10200000.0,2019/ 2020,wolfsberger,w wolfsberger w
1841,7,TSV Hartberg,Austria Bundesliga,6830000.0,2019/ 2020,hartberg,h hartberg h
1842,8,SCR Altach,Austria Bundesliga,9980000.0,2019/ 2020,altach,a altach a
1843,11,WSG Tirol,Austria Bundesliga,5730000.0,2019/ 2020,tirol,t tirol t
1844,1,Celtic FC,Premiership,123950000.0,2023/ 2024,celtic,c celtic c
1845,2,Rangers FC,Premiership,111130000.0,2023/ 2024,rangers,r rangers r
1846,3,Heart of Midlothian FC,Premiership,14350000.0,2023/ 2024,heart of midlothian,h midlothian m
1847,4,Aberdeen FC,Premiership,14580000.0,2023/ 2024,aberdeen,a aberdeen a
1848,5,Hibernian FC,Premiership,13100000.0,2023/ 2024,hibernian,h hibernian h
1849,6,Kilmarnock FC,Premiership,6450000.0,2023/ 2024,kilmarnock,k kilmarnock k
1850,7,Motherwell FC,Premiership,6450000.0,2023/ 2024,motherwell,m motherwell m
1851,8,Dundee FC,Premiership,6780000.0,2023/ 2024,dundee,d dundee d
1852,9,St. Mirren FC,Premiership,7180000.0,2023/ 2024,st mirren,s mirren m
1853,10,Ross County FC,Premiership,7930000.0,2023/ 2024,ross county,r county c
1854,12,St. Johnstone FC,Premiership,6000000.0,2023/ 2024,st johnstone,s johnstone j
1855,1,Celtic FC,Premiership,103780000.0,2022/ 2023,celtic,c celtic c
1856,2,Rangers FC,Premiership,131250000.0,2022/ 2023,rangers,r rangers r
1857,3,Heart of Midlothian FC,Premiership,12750000.0,2022/ 2023,heart of midlothian,h midlothian m
1858,4,Aberdeen FC,Premiership,9430000.0,2022/ 2023,aberdeen,a aberdeen a
1859,5,Hibernian FC,Premiership,12080000.0,2022/ 2023,hibernian,h hibernian h
1860,6,Kilmarnock FC,Premiership,8230000.0,2022/ 2023,kilmarnock,k kilmarnock k
1861,7,Motherwell FC,Premiership,8450000.0,2022/ 2023,motherwell,m motherwell m
1862,9,St. Mirren FC,Premiership,7430000.0,2022/ 2023,st mirren,s mirren m
1863,10,Ross County FC,Premiership,7200000.0,2022/ 2023,ross county,r county c
1864,11,Dundee United FC,Premiership,10330000.0,2022/ 2023,dundee united,d dundee u
1865,12,St. Johnstone FC,Premiership,8650000.0,2022/ 2023,st johnstone,s johnstone j
1866,1,Celtic FC,Premiership,78880000.0,2021/ 2022,celtic,c celtic c
1867,2,Rangers FC,Premiership,105800000.0,2021/ 2022,rangers,r rangers r
1868,3,Heart of Midlothian FC,Premiership,9200000.0,2021/ 2022,heart of midlothian,h midlothian m
1869,4,Aberdeen FC,Premiership,12230000.0,2021/ 2022,aberdeen,a aberdeen a
1870,5,Hibernian FC,Premiership,18650000.0,2021/ 2022,hibernian,h hibernian h
1871,7,Motherwell FC,Premiership,7750000.0,2021/ 2022,motherwell,m motherwell m
1872,8,Dundee FC,Premiership,6030000.0,2021/ 2022,dundee,d dundee d
1873,9,St. Mirren FC,Premiership,8180000.0,2021/ 2022,st mirren,s mirren m
1874,10,Ross County FC,Premiership,5580000.0,2021/ 2022,ross county,r county c
1875,11,Dundee United FC,Premiership,8730000.0,2021/ 2022,dundee united,d dundee u
1876,12,St. Johnstone FC,Premiership,8630000.0,2021/ 2022,st johnstone,s johnstone j
1877,1,Celtic FC,Premiership,83200000.0,2020/ 2021,celtic,c celtic c
1878,2,Rangers FC,Premiership,53830000.0,2020/ 2021,rangers,r rangers r
1879,3,Heart of Midlothian FC,Premiership,9880000.0,2020/ 2021,heart of midlothian,h midlothian m
1880,4,Aberdeen FC,Premiership,12980000.0,2020/ 2021,aberdeen,a aberdeen a
1881,5,Hibernian FC,Premiership,9800000.0,2020/ 2021,hibernian,h hibernian h
1882,6,Kilmarnock FC,Premiership,6000000.0,2020/ 2021,kilmarnock,k kilmarnock k
1883,7,Motherwell FC,Premiership,10200000.0,2020/ 2021,motherwell,m motherwell m
1884,9,St. Mirren FC,Premiership,5000000.0,2020/ 2021,st mirren,s mirren m
1885,10,Ross County FC,Premiership,6830000.0,2020/ 2021,ross county,r county c
1886,12,St. Johnstone FC,Premiership,6400000.0,2020/ 2021,st johnstone,s johnstone j
1887,1,Celtic FC,Premiership,67430000.0,2019/ 2020,celtic,c celtic c
1888,2,Rangers FC,Premiership,36350000.0,2019/ 2020,rangers,r rangers r
1889,3,Heart of Midlothian FC,Premiership,10600000.0,2019/ 2020,heart of midlothian,h midlothian m
1890,4,Aberdeen FC,Premiership,11750000.0,2019/ 2020,aberdeen,a aberdeen a
1891,5,Hibernian FC,Premiership,11600000.0,2019/ 2020,hibernian,h hibernian h
1892,6,Kilmarnock FC,Premiership,6350000.0,2019/ 2020,kilmarnock,k kilmarnock k
1893,7,Motherwell FC,Premiership,6180000.0,2019/ 2020,motherwell,m motherwell m
1894,9,St. Mirren FC,Premiership,3600000.0,2019/ 2020,st mirren,s mirren m
1895,10,Ross County FC,Premiership,6880000.0,2019/ 2020,ross county,r county c
1896,12,St. Johnstone FC,Premiership,6430000.0,2019/ 2020,st johnstone,s johnstone j
1897,1,FC Copenhagen,Denmark Superliga,60000000.0,2023/ 2024,copenhagen,c copenhagen c
1898,2,FC Midtjylland,Denmark Superliga,45000000.0,2023/ 2024,midtjylland,m midtjylland m
1899,3,Bröndby IF,Denmark Superliga,33049999.999999996,2023/ 2024,brondby,b brondby b
1900,4,FC Nordsjaelland,Denmark Superliga,32650000.0,2023/ 2024,nordsjaelland,n nordsjaelland n
1901,5,Silkeborg IF,Denmark Superliga,10950000.0,2023/ 2024,silkeborg,s silkeborg s
1902,6,Viborg FF,Denmark Superliga,12350000.0,2023/ 2024,viborg,v viborg v
1903,7,Aarhus GF,Denmark Superliga,17900000.0,2023/ 2024,aarhus,a aarhus a
1904,8,Randers FC,Denmark Superliga,11650000.0,2023/ 2024,randers,r randers r
1905,9,Vejle Boldklub,Denmark Superliga,8800000.0,2023/ 2024,vejle boldklub,v boldklub b
1906,10,Lyngby BK,Denmark Superliga,8300000.000000001,2023/ 2024,lyngby,l lyngby l
1907,1,FC Copenhagen,Denmark Superliga,60650000.0,2022/ 2023,copenhagen,c copenhagen c
1908,2,FC Midtjylland,Denmark Superliga,53100000.0,2022/ 2023,midtjylland,m midtjylland m
1909,3,Bröndby IF,Denmark Superliga,26700000.0,2022/ 2023,brondby,b brondby b
1910,4,FC Nordsjaelland,Denmark Superliga,18350000.0,2022/ 2023,nordsjaelland,n nordsjaelland n
1911,5,Silkeborg IF,Denmark Superliga,12600000.0,2022/ 2023,silkeborg,s silkeborg s
1912,6,Viborg FF,Denmark Superliga,8500000.0,2022/ 2023,viborg,v viborg v
1913,7,Aarhus GF,Denmark Superliga,14300000.0,2022/ 2023,aarhus,a aarhus a
1914,8,Randers FC,Denmark Superliga,14750000.0,2022/ 2023,randers,r randers r
1915,10,Lyngby BK,Denmark Superliga,7300000.0,2022/ 2023,lyngby,l lyngby l
1916,11,Aalborg BK,Denmark Superliga,13950000.0,2022/ 2023,aalborg,a aalborg a
1917,1,FC Copenhagen,Denmark Superliga,37450000.0,2021/ 2022,copenhagen,c copenhagen c
1918,2,FC Midtjylland,Denmark Superliga,48750000.0,2021/ 2022,midtjylland,m midtjylland m
1919,3,Bröndby IF,Denmark Superliga,22300000.0,2021/ 2022,brondby,b brondby b
1920,4,FC Nordsjaelland,Denmark Superliga,21400000.0,2021/ 2022,nordsjaelland,n nordsjaelland n
1921,5,Silkeborg IF,Denmark Superliga,7300000.0,2021/ 2022,silkeborg,s silkeborg s
1922,6,Viborg FF,Denmark Superliga,6350000.0,2021/ 2022,viborg,v viborg v
1923,7,Aarhus GF,Denmark Superliga,16329999.999999998,2021/ 2022,aarhus,a aarhus a
1924,8,Randers FC,Denmark Superliga,9850000.0,2021/ 2022,randers,r randers r
1925,9,Vejle Boldklub,Denmark Superliga,11950000.0,2021/ 2022,vejle boldklub,v boldklub b
1926,11,Aalborg BK,Denmark Superliga,13750000.0,2021/ 2022,aalborg,a aalborg a
1927,12,Sönderjyske,Denmark Superliga,9450000.0,2021/ 2022,sonderjyske,s sonderjyske s
1928,1,FC Copenhagen,Denmark Superliga,37950000.0,2020/ 2021,copenhagen,c copenhagen c
1929,2,FC Midtjylland,Denmark Superliga,39500000.0,2020/ 2021,midtjylland,m midtjylland m
1930,3,Bröndby IF,Denmark Superliga,19450000.0,2020/ 2021,brondby,b brondby b
1931,4,FC Nordsjaelland,Denmark Superliga,27050000.0,2020/ 2021,nordsjaelland,n nordsjaelland n
1932,5,Silkeborg IF,Denmark Superliga,6200000.0,2020/ 2021,silkeborg,s silkeborg s
1933,7,Aarhus GF,Denmark Superliga,16550000.0,2020/ 2021,aarhus,a aarhus a
1934,8,Randers FC,Denmark Superliga,7400000.0,2020/ 2021,randers,r randers r
1935,10,Lyngby BK,Denmark Superliga,6500000.0,2020/ 2021,lyngby,l lyngby l
1936,11,Aalborg BK,Denmark Superliga,14550000.0,2020/ 2021,aalborg,a aalborg a
1937,12,Sönderjyske,Denmark Superliga,7450000.0,2020/ 2021,sonderjyske,s sonderjyske s
1938,1,FC Copenhagen,Denmark Superliga,41250000.0,2019/ 2020,copenhagen,c copenhagen c
1939,2,FC Midtjylland,Denmark Superliga,31800000.0,2019/ 2020,midtjylland,m midtjylland m
1940,3,Bröndby IF,Denmark Superliga,20830000.0,2019/ 2020,brondby,b brondby b
1941,4,FC Nordsjaelland,Denmark Superliga,14600000.0,2019/ 2020,nordsjaelland,n nordsjaelland n
1942,5,Silkeborg IF,Denmark Superliga,7250000.0,2019/ 2020,silkeborg,s silkeborg s
1943,7,Aarhus GF,Denmark Superliga,11100000.0,2019/ 2020,aarhus,a aarhus a
1944,8,Randers FC,Denmark Superliga,8100000.0,2019/ 2020,randers,r randers r
1945,10,Lyngby BK,Denmark Superliga,4650000.0,2019/ 2020,lyngby,l lyngby l
1946,11,Aalborg BK,Denmark Superliga,11600000.0,2019/ 2020,aalborg,a aalborg a
1947,12,Sönderjyske,Denmark Superliga,9250000.0,2019/ 2020,sonderjyske,s sonderjyske s
1948,1,Malmö FF,Allsvenskan,31250000.0,2023/ 2024,malmo,m malmo m
1949,2,Hammarby IF,Allsvenskan,17650000.0,2023/ 2024,hammarby,h hammarby h
1950,3,BK Häcken,Allsvenskan,21300000.0,2023/ 2024,hacken,h hacken h
1951,4,Djurgårdens IF,Allsvenskan,19030000.0,2023/ 2024,djurgardens,d djurgardens d
1952,5,AIK,Allsvenskan,18130000.0,2023/ 2024,,
1953,6,IFK Göteborg,Allsvenskan,12930000.0,2023/ 2024,goteborg,g goteborg g
1954,7,IF Elfsborg,Allsvenskan,14250000.0,2023/ 2024,elfsborg,e elfsborg e
1955,8,IK Sirius,Allsvenskan,7850000.0,2023/ 2024,sirius,s sirius s
1956,9,IFK Norrköping,Allsvenskan,13400000.0,2023/ 2024,norrkoping,n norrkoping n
1957,10,Kalmar FF,Allsvenskan,10600000.0,2023/ 2024,kalmar,k kalmar k
1958,11,Mjällby AIF,Allsvenskan,8750000.0,2023/ 2024,mjallby,m mjallby m
1959,12,IF Brommapojkarna,Allsvenskan,8330000.0,2023/ 2024,brommapojkarna,b brommapojkarna b
1960,13,IFK Värnamo,Allsvenskan,7600000.0,2023/ 2024,varnamo,v varnamo v
1961,16,Halmstads BK,Allsvenskan,6830000.0,2023/ 2024,halmstads,h halmstads h
1962,1,Malmö FF,Allsvenskan,29050000.0,2022/ 2023,malmo,m malmo m
1963,2,Hammarby IF,Allsvenskan,20000000.0,2022/ 2023,hammarby,h hammarby h
1964,3,BK Häcken,Allsvenskan,14430000.0,2022/ 2023,hacken,h hacken h
1965,4,Djurgårdens IF,Allsvenskan,15850000.0,2022/ 2023,djurgardens,d djurgardens d
1966,5,AIK,Allsvenskan,14500000.0,2022/ 2023,,
1967,6,IFK Göteborg,Allsvenskan,9700000.0,2022/ 2023,goteborg,g goteborg g
1968,7,IF Elfsborg,Allsvenskan,18180000.0,2022/ 2023,elfsborg,e elfsborg e
1969,8,IK Sirius,Allsvenskan,8199999.999999999,2022/ 2023,sirius,s sirius s
1970,9,IFK Norrköping,Allsvenskan,15680000.0,2022/ 2023,norrkoping,n norrkoping n
1971,10,Kalmar FF,Allsvenskan,8800000.0,2022/ 2023,kalmar,k kalmar k
1972,11,Mjällby AIF,Allsvenskan,8500000.0,2022/ 2023,mjallby,m mjallby m
1973,13,IFK Värnamo,Allsvenskan,6660000.0,2022/ 2023,varnamo,v varnamo v
1974,1,Malmö FF,Allsvenskan,24980000.0,2021/ 2022,malmo,m malmo m
1975,2,Hammarby IF,Allsvenskan,16480000.0,2021/ 2022,hammarby,h hammarby h
1976,3,BK Häcken,Allsvenskan,14230000.0,2021/ 2022,hacken,h hacken h
1977,4,Djurgårdens IF,Allsvenskan,14700000.0,2021/ 2022,djurgardens,d djurgardens d
1978,5,AIK,Allsvenskan,10430000.0,2021/ 2022,,
1979,6,IFK Göteborg,Allsvenskan,10900000.0,2021/ 2022,goteborg,g goteborg g
1980,7,IF Elfsborg,Allsvenskan,14500000.0,2021/ 2022,elfsborg,e elfsborg e
1981,8,IK Sirius,Allsvenskan,7080000.0,2021/ 2022,sirius,s sirius s
1982,9,IFK Norrköping,Allsvenskan,14050000.0,2021/ 2022,norrkoping,n norrkoping n
1983,10,Kalmar FF,Allsvenskan,6530000.0,2021/ 2022,kalmar,k kalmar k
1984,11,Mjällby AIF,Allsvenskan,6750000.0,2021/ 2022,mjallby,m mjallby m
1985,16,Halmstads BK,Allsvenskan,5750000.0,2021/ 2022,halmstads,h halmstads h
1986,1,Malmö FF,Allsvenskan,17130000.0,2020/ 2021,malmo,m malmo m
1987,2,Hammarby IF,Allsvenskan,12330000.0,2020/ 2021,hammarby,h hammarby h
1988,3,BK Häcken,Allsvenskan,9120000.0,2020/ 2021,hacken,h hacken h
1989,4,Djurgårdens IF,Allsvenskan,10580000.0,2020/ 2021,djurgardens,d djurgardens d
1990,5,AIK,Allsvenskan,10730000.0,2020/ 2021,,
1991,6,IFK Göteborg,Allsvenskan,10330000.0,2020/ 2021,goteborg,g goteborg g
1992,7,IF Elfsborg,Allsvenskan,7630000.0,2020/ 2021,elfsborg,e elfsborg e
1993,8,IK Sirius,Allsvenskan,5900000.0,2020/ 2021,sirius,s sirius s
1994,9,IFK Norrköping,Allsvenskan,10550000.0,2020/ 2021,norrkoping,n norrkoping n
1995,10,Kalmar FF,Allsvenskan,7550000.0,2020/ 2021,kalmar,k kalmar k
1996,11,Mjällby AIF,Allsvenskan,3550000.0,2020/ 2021,mjallby,m mjallby m
1997,1,Malmö FF,Allsvenskan,18450000.0,2019/ 2020,malmo,m malmo m
1998,2,Hammarby IF,Allsvenskan,13150000.0,2019/ 2020,hammarby,h hammarby h
1999,3,BK Häcken,Allsvenskan,11280000.0,2019/ 2020,hacken,h hacken h
2000,4,Djurgårdens IF,Allsvenskan,12050000.0,2019/ 2020,djurgardens,d djurgardens d
2001,5,AIK,Allsvenskan,14830000.0,2019/ 2020,,
2002,6,IFK Göteborg,Allsvenskan,10200000.0,2019/ 2020,goteborg,g goteborg g
2003,7,IF Elfsborg,Allsvenskan,7900000.0,2019/ 2020,elfsborg,e elfsborg e
2004,8,IK Sirius,Allsvenskan,6300000.0,2019/ 2020,sirius,s sirius s
2005,9,IFK Norrköping,Allsvenskan,13500000.0,2019/ 2020,norrkoping,n norrkoping n
2006,10,Kalmar FF,Allsvenskan,9130000.0,2019/ 2020,kalmar,k kalmar k
2007,1,Malmö FF,Allsvenskan,43000000.0,2024/ 2025,malmo,m malmo m
2008,2,Hammarby IF,Allsvenskan,39250000.0,2024/ 2025,hammarby,h hammarby h
2009,3,BK Häcken,Allsvenskan,23980000.0,2024/ 2025,hacken,h hacken h
2010,4,Djurgårdens IF,Allsvenskan,32549999.999999996,2024/ 2025,djurgardens,d djurgardens d
2011,5,AIK,Allsvenskan,20900000.0,2024/ 2025,,
2012,6,IFK Göteborg,Allsvenskan,20350000.0,2024/ 2025,goteborg,g goteborg g
2013,7,IF Elfsborg,Allsvenskan,16900000.0,2024/ 2025,elfsborg,e elfsborg e
2014,8,IK Sirius,Allsvenskan,13230000.0,2024/ 2025,sirius,s sirius s
2015,9,IFK Norrköping,Allsvenskan,15050000.0,2024/ 2025,norrkoping,n norrkoping n
2016,10,Kalmar FF,Allsvenskan,10350000.0,2024/ 2025,kalmar,k kalmar k
2017,11,Mjällby AIF,Allsvenskan,9700000.0,2024/ 2025,mjallby,m mjallby m
2018,12,IF Brommapojkarna,Allsvenskan,9850000.0,2024/ 2025,brommapojkarna,b brommapojkarna b
2019,13,IFK Värnamo,Allsvenskan,7980000.0,2024/ 2025,varnamo,v varnamo v
2020,14,Västerås SK,Allsvenskan,7700000.0,2024/ 2025,vasteras,v vasteras v
2021,15,GAIS,Allsvenskan,7280000.0,2024/ 2025,,
2022,16,Halmstads BK,Allsvenskan,7150000.0,2024/ 2025,halmstads,h halmstads h
2023,1,Galatasaray,Süper Lig,181480000.0,2024/ 2025,galatasaray,g galatasaray g
2024,2,Fenerbahce,Süper Lig,192100000.0,2024/ 2025,fenerbahce,f fenerbahce f
2025,3,Besiktas JK,Süper Lig,129979999.99999999,2024/ 2025,besiktas,b besiktas b
2026,4,Trabzonspor,Süper Lig,97880000.0,2024/ 2025,trabzonspor,t trabzonspor t
2027,5,Basaksehir FK,Süper Lig,43000000.0,2024/ 2025,basaksehir,b basaksehir b
2028,6,Samsunspor,Süper Lig,32200000.000000004,2024/ 2025,samsunspor,s samsunspor s
2029,7,Caykur Rizespor,Süper Lig,32250000.0,2024/ 2025,caykur rizespor,c rizespor r
2030,9,Alanyaspor,Süper Lig,26150000.0,2024/ 2025,alanyaspor,a alanyaspor a
2031,10,Adana Demirspor,Süper Lig,34580000.0,2024/ 2025,adana demirspor,a demirspor d
2032,11,Kayserispor,Süper Lig,28350000.0,2024/ 2025,kayserispor,k kayserispor k
2033,12,Kasimpasa,Süper Lig,26980000.0,2024/ 2025,kasimpasa,k kasimpasa k
2034,13,Sivasspor,Süper Lig,22050000.0,2024/ 2025,sivasspor,s sivasspor s
2035,14,Antalyaspor,Süper Lig,26500000.0,2024/ 2025,antalyaspor,a antalyaspor a
2036,15,Konyaspor,Süper Lig,24330000.0,2024/ 2025,konyaspor,k konyaspor k
2037,16,Hatayspor,Süper Lig,23850000.0,2024/ 2025,hatayspor,h hatayspor h
2038,19,Gaziantep FK,Süper Lig,21100000.0,2024/ 2025,gaziantep,g gaziantep g
2039,1,PSV Eindhoven,Eredivisie,331500000.0,2024/ 2025,eindhoven,e eindhoven e
2040,2,Feyenoord Rotterdam,Eredivisie,325900000.0,2024/ 2025,feyenoord rotterdam,f feyenoord r
2041,3,Ajax Amsterdam,Eredivisie,242550000.0,2024/ 2025,ajax amsterdam,a amsterdam a
2042,4,AZ Alkmaar,Eredivisie,108700000.0,2024/ 2025,alkmaar,a alkmaar a
2043,5,Twente Enschede FC,Eredivisie,78280000.0,2024/ 2025,twente enschede,t enschede e
2044,6,FC Utrecht,Eredivisie,47150000.0,2024/ 2025,utrecht,u utrecht u
